Time,Timestamp,Sample T (K),Setpoint T (K),Heater Power (%),MC Pressure (mbar),DL Pressure (mbar),Wavelength (nm),ITC502_P (%),ITC502_I (min),ITC502_D (min),Hamamatsu (V)
2026-03-02 11:06:49.319409,1772446009.319409,,,,,,,,,,
2026-03-02 11:06:50.318706,1772446010.318706,,,,,,,,,,
2026-03-02 11:06:51.318616,1772446011.318616,,,,,,,,,,
2026-03-02 11:06:52.319159,1772446012.319159,,,,,,,,,,
2026-03-02 11:06:53.319334,1772446013.319334,,,,,,,,,,
2026-03-02 11:06:54.319290,1772446014.31929,,,,,,,,,,
2026-03-02 11:06:55.319591,1772446015.319591,,,,,,,,,,
2026-03-02 11:06:56.319246,1772446016.319246,,,,,,,,,,
2026-03-02 11:06:57.318708,1772446017.318708,,,,,,,,,,
2026-03-02 11:06:58.318727,1772446018.318727,,,,,,,,,,
2026-03-02 11:06:59.318697,1772446019.318697,,,,,,,,,,
2026-03-02 11:07:00.318789,1772446020.318789,,,,,,,,,,
2026-03-02 11:07:01.319632,1772446021.319632,,,,,,,,,,
2026-03-02 11:07:02.319518,1772446022.319518,,,,,,,,,,
2026-03-02 11:07:03.319498,1772446023.319498,,,,,,,,,,
2026-03-02 11:07:04.318901,1772446024.318901,,,,,,,,,,
2026-03-02 11:07:05.319663,1772446025.319663,,,,,,,,,,
2026-03-02 11:07:06.319865,1772446026.319865,,,,,,,,,,
2026-03-02 11:07:07.319405,1772446027.319405,,,,,,,,,,
2026-03-02 11:07:08.319519,1772446028.319519,,,,,,,,,,
2026-03-02 11:07:09.318753,1772446029.318753,,,,,,,,,,
