name,value,error
m,2.905052221504824e-06,1.4380396973933004e-07
c,0.17495554679243455,0.00019277122083822623
xc,508.17449336542796,1.5778650081245045
w,257.95546059208954,0.49979398093913185
A,0.009075659627534885,2.9393922255280904e-05
dosing rate (nm/s),0.5629166864873111,0.00238185073949297
refractive index,1.1094244731250977,0.0004443302861870143
redchi2,9.363059736214743e-05,
